,label,sentence
0,Account balance,Account summary
1,Account balance,I want to see Account summary
2,Account balance,I want to find Account summary
3,Account balance,what’s my Account summary
4,Account balance,what is my Account summary
5,Account balance,get Account summary
6,Account balance,please get Account summary
7,Account balance,tell me my Account summary
8,Account balance,show me Account summary
9,Account balance,display Account summary
10,Account balance,what’s my Account summary
11,Account balance,please get Account summary
12,Account balance,get Account summary
13,Account balance,balance for all accounts
14,Account balance,I want to see balance for all accounts
15,Account balance,I want to find balance for all accounts
16,Account balance,what’s my balance for all accounts
17,Account balance,what is my balance for all accounts
18,Account balance,get balance for all accounts
19,Account balance,please get balance for all accounts
20,Account balance,tell me my balance for all accounts
21,Account balance,show me balance for all accounts
22,Account balance,display balance for all accounts
23,Account balance,what’s my balance for all accounts
24,Account balance,please get balance for all accounts
25,Account balance,get balance for all accounts
26,Account balance,acc sum
27,Account balance,I want to see acc sum
28,Account balance,I want to find acc sum
29,Account balance,what’s my acc sum
30,Account balance,what is my acc sum
31,Account balance,get acc sum
32,Account balance,please get acc sum
33,Account balance,tell me my acc sum
34,Account balance,show me acc sum
35,Account balance,display acc sum
36,Account balance,what’s my acc sum
37,Account balance,please get acc sum
38,Account balance,get acc sum
39,Account balance,acc summary
40,Account balance,I want to see acc summary
41,Account balance,I want to find acc summary
42,Account balance,what’s my acc summary
43,Account balance,what is my acc summary
44,Account balance,get acc summary
45,Account balance,please get acc summary
46,Account balance,tell me my acc summary
47,Account balance,show me acc summary
48,Account balance,display acc summary
49,Account balance,what’s my acc summary
50,Account balance,please get acc summary
51,Account balance,get acc summary
52,Account balance,account sum
53,Account balance,I want to see account sum
54,Account balance,I want to find account sum
55,Account balance,what’s my account sum
56,Account balance,what is my account sum
57,Account balance,get account sum
58,Account balance,please get account sum
59,Account balance,tell me my account sum
60,Account balance,show me account sum
61,Account balance,display account sum
62,Account balance,what’s my account sum
63,Account balance,please get account sum
64,Account balance,get account sum
65,Account balance,short statement
66,Account balance,I want to see short statement
67,Account balance,I want to find short statement
68,Account balance,what’s my short statement
69,Account balance,what is my short statement
70,Account balance,get short statement
71,Account balance,please get short statement
72,Account balance,tell me my short statement
73,Account balance,show me short statement
74,Account balance,display short statement
75,Account balance,what’s my short statement
76,Account balance,please get short statement
77,Account balance,get short statement
78,Account balance,summary of accounts
79,Account balance,I want to see summary of accounts
80,Account balance,I want to find summary of accounts
81,Account balance,what’s my summary of accounts
82,Account balance,what is my summary of accounts
83,Account balance,get summary of accounts
84,Account balance,please get summary of accounts
85,Account balance,tell me my summary of accounts
86,Account balance,show me summary of accounts
87,Account balance,display summary of accounts
88,Account balance,what’s my summary of accounts
89,Account balance,please get summary of accounts
90,Account balance,get summary of accounts
91,Account balance,summary of balances
92,Account balance,I want to see summary of balances
93,Account balance,I want to find summary of balances
94,Account balance,what’s my summary of balances
95,Account balance,what is my summary of balances
96,Account balance,get summary of balances
97,Account balance,please get summary of balances
98,Account balance,tell me my summary of balances
99,Account balance,show me summary of balances
100,Account balance,display summary of balances
101,Account balance,what’s my summary of balances
102,Account balance,please get summary of balances
103,Account balance,get summary of balances
104,Account balance,account overview
105,Account balance,I want to see account overview
106,Account balance,I want to find account overview
107,Account balance,what’s my account overview
108,Account balance,what is my account overview
109,Account balance,get account overview
110,Account balance,please get account overview
111,Account balance,tell me my account overview
112,Account balance,show me account overview
113,Account balance,display account overview
114,Account balance,what’s my account overview
115,Account balance,please get account overview
116,Account balance,get account overview
117,Account balance,account balance
118,Account balance,I want to see account balance
119,Account balance,I want to find account balance
120,Account balance,what’s my account balance
121,Account balance,what is my account balance
122,Account balance,get account balance
123,Account balance,please get account balance
124,Account balance,tell me my account balance
125,Account balance,show me account balance
126,Account balance,display account balance
127,Account balance,what’s my account balance
128,Account balance,please get account balance
129,Account balance,get account balance
130,Account balance,How much money do I have
131,Account balance,I want to see How much money do I have
132,Account balance,I want to find How much money do I have
133,Account balance,what’s my How much money do I have
134,Account balance,what is my How much money do I have
135,Account balance,get How much money do I have
136,Account balance,please get How much money do I have
137,Account balance,tell me my How much money do I have
138,Account balance,show me How much money do I have
139,Account balance,display How much money do I have
140,Account balance,what’s my How much money do I have
141,Account balance,please get How much money do I have
142,Account balance,get How much money do I have
143,Account balance,account balance
144,Account balance,I want to see account balance
145,Account balance,I want to find account balance
146,Account balance,what’s my account balance
147,Account balance,what is my account balance
148,Account balance,get account balance
149,Account balance,please get account balance
150,Account balance,tell me my account balance
151,Account balance,show me account balance
152,Account balance,display account balance
153,Account balance,what’s my account balance
154,Account balance,please get account balance
155,Account balance,get account balance
156,Account balance,Balance
157,Account balance,I want to see Balance
158,Account balance,I want to find Balance
159,Account balance,what’s my Balance
160,Account balance,what is my Balance
161,Account balance,get Balance
162,Account balance,please get Balance
163,Account balance,tell me my Balance
164,Account balance,show me Balance
165,Account balance,display Balance
166,Account balance,what’s my Balance
167,Account balance,please get Balance
168,Account balance,get Balance
169,Account balance,Balance for account [name]
170,Account balance,I want to see Balance for account [name]
171,Account balance,I want to find Balance for account [name]
172,Account balance,what’s my Balance for account [name]
173,Account balance,what is my Balance for account [name]
174,Account balance,get Balance for account [name]
175,Account balance,please get Balance for account [name]
176,Account balance,tell me my Balance for account [name]
177,Account balance,show me Balance for account [name]
178,Account balance,display Balance for account [name]
179,Account balance,what’s my Balance for account [name]
180,Account balance,please get Balance for account [name]
181,Account balance,get Balance for account [name]
182,Account balance,what funds do I have available
183,Account balance,I want to see what funds do I have available
184,Account balance,I want to find what funds do I have available
185,Account balance,what’s my what funds do I have available
186,Account balance,what is my what funds do I have available
187,Account balance,get what funds do I have available
188,Account balance,please get what funds do I have available
189,Account balance,tell me my what funds do I have available
190,Account balance,show me what funds do I have available
191,Account balance,display what funds do I have available
192,Account balance,what’s my what funds do I have available
193,Account balance,please get what funds do I have available
194,Account balance,get what funds do I have available
