sentence,label
get how much can I spend,Account balance
what’s my account balance,Account balance
I need to include new beneficiary,Add Payee
I need to pay someone else,Transfer to 3rd party
ajfoiej afjaeo afjaeo afoeial lf aa foea,Unknown
get what funds do I have available,Account balance
I need to transfer money,Transfer own Account
ajfoiej transfer afjaeo afoeial lf aa foea,Unknown
I want to move my money,Transfer own Account
I need to pay [name],Bill Payment
I need to move cash,Transfer own Account
what’s my account balance,Account balance
what are my account transactions,Transaction history
show me account summary,Account balance
please get summary of accounts,Account balance
make a transfer,Transfer own Account
I want to add new payee,Add Payee
I’d like to move my money,Transfer own Account
get Balance for account [account_type],Account balance
account galjlal afleio a,Unknown
I’d like to transfer funds,Transfer to 3rd party
what is my History of account,Transaction history
can someone phone me,Req to call back
please get account overview,Account balance
I want to send funds,Transfer to 3rd party
transaction summary,Transaction history
ajfoiej add afjaeo afoeial lf aa foea,Unknown
account balance,Account balance
get money available,Account balance
Pay bill,Bill Payment
I’d like to send funds,Transfer to 3rd party
what is my account overview,Account balance
I want to pay my [name] bill,Bill Payment
talk to someone now,Req for Human Agent
show me Balance,Account balance
I need to transfer funds,Transfer own Account
tell me my account balance,Account balance
Add a new payee,Add Payee
I need to talk to a real person,Req for Human Agent
can I talk to a human,Req for Human Agent
I want to see summary of balances,Account balance
make funds transfer,Transfer to 3rd party
I want to find Balance for account [account_type],Account balance
Perform a money transfer,Transfer to 3rd party
what’s my Balance,Account balance
I need help now,Req for Human Agent
what’s my account sum,Account balance
what’s my short statement,Account balance
I need to Remove Beneficiary,Delete Payee
send funds to another person,Transfer to 3rd party
I’d like to transfer,Transfer own Account
what are my account Transactions,Transaction history
I want to do a bank transfer,Transfer to 3rd party
what’s my summary of accounts,Account balance
please get short statement,Account balance
assist me with performing a bank transfer,Transfer to 3rd party
ajfoiej account afjaeo afoeial lf aa foea,Unknown
I want to send money to [person],Transfer to 3rd party
I want bank to call me,Req to call back
can I move cash,Transfer own Account
request make a payment to [person],Transfer to 3rd party
add payee,Add Payee
assist me with transferring funds,Transfer to 3rd party
I need to make a transfer,Transfer own Account
show me money available,Account balance
I want the bank to give me a call,Req to call back
I want to find money available,Account balance
add new payee,Add Payee
I need to talk to a human,Req for Human Agent
help me to erase payee,Delete Payee
what is my Account summary,Account balance
how much can I spend,Account balance
show me account balance,Account balance
make a payment to [person],Transfer to 3rd party
send funds to another person,Transfer to 3rd party
Account transaction,Transaction history
put me through to a real person,Req for Human Agent
please get Balance,Account balance
what’s my short statement,Account balance
show me summary of accounts,Account balance
assist me with transferring money to another person,Transfer to 3rd party
can I Add beneficiary,Add Payee
can I move my money,Transfer own Account
what funds do I have available,Account balance
can you Pay bill,Bill Payment
move funds between my accounts,Transfer own Account
can I transfer funds,Transfer to 3rd party
assist me with transferring funds,Transfer to 3rd party
I’d like to move from [account_type] to [account_type],Transfer own Account
delete Beneficiary,Delete Payee
can I create new payee,Add Payee
get account summary,Account balance
I’d like to create a bank transfer,Transfer to 3rd party
pay someone new,Add Payee
ask a bank clerk to call back,Req to call back
what’s the money available,Account balance
request move from [account_type] to [account_type],Transfer own Account
what’s my account summary,Account balance
I want to Speak with an agent,Req for Human Agent
I’d like to move money,Transfer own Account
what’s my summary of balances,Account balance
please get balance for all accounts,Account balance
can I transfer funds,Transfer own Account
what funds do I have available,Account balance
bill payment,Bill Payment
ask the bank to Call me back,Req to call back
transfer money to another person,Transfer to 3rd party
assist me with Transfer to payee,Transfer to 3rd party
I want to see account balance,Account balance
acc transactions,Transaction history
I need to Transfer between my accounts,Transfer own Account
what were the account transactions,Transaction history
put me through an agent,Req for Human Agent
I need a call back,Req to call back
what is my short statement,Account balance
money available,Account balance
I need to pay [person],Transfer to 3rd party
ajfoiej summary afjaeo afoeial lf aa foea,Unknown
I need some money to be transferred,Transfer own Account
transfer from my [account_type] to my [account_type],Transfer own Account
I need help now,Req for Human Agent
get Balance for account [account_type],Account balance
please get How much money I have,Account balance
what were the Transactions,Transaction history
ask the bank to contact me,Req to call back
ajfoiej payee afjaeo afoeial lf aa foea,Unknown
help me to transfer funds,Transfer own Account
tell me my money available,Account balance
I want to find How much money I have,Account balance
I want the bank to Call me back,Req to call back
can I pay a bill,Bill Payment
I need to move my money,Transfer own Account
transfer to an agent,Req for Human Agent
I want to send money,Transfer to 3rd party
Add afoaeijl as beneficiary,Add Payee
help me to move funds between my accounts,Transfer own Account
can I add new beneficiary,Add Payee
I want to transfer from my [account_type] to my [account_type],Transfer own Account
please get what’s left in my account,Account balance
help me to Add beneficiary,Add Payee
display short statement,Account balance
assist me with transferring money to another person,Transfer to 3rd party
tell me how much can I spend,Account balance
get Balance,Account balance
transfer me to an agent,Req for Human Agent
tell me my summary of balances,Account balance
I request to be transferred to an agent,Req for Human Agent
help me to move my money,Transfer own Account
get money available,Account balance
phone me,Req to call back
call back,Req to call back
I’d like to transfer funds,Transfer own Account
display account balance,Account balance
ask the bank to get in touch with me,Req to call back
show me what funds I have available,Account balance
set up a new payee,Add Payee
ask a bank clerk to give me a call,Req to call back
put me through I need help now,Req for Human Agent
I want to find what’s left in my account,Account balance
ajfoiej afjaeo afjaeo afoeial lf aa foea,Unknown
get summary of accounts,Account balance
I need to transfer money to another person,Transfer to 3rd party
I want to see how much I can spend,Account balance
help me to delete payee,Delete Payee
give me a call,Req to call back
why do I have so few money,Transaction history
help me to pay my [name] bill,Bill Payment
what were the account transactions,Transaction history
ask the bank to phone me,Req to call back
I want to find short statement,Account balance
display account balance,Account balance
I want to move money,Transfer own Account
I’d like to pay someone else,Transfer to 3rd party
move money,Transfer own Account
I want to delete Beneficiary,Delete Payee
tell me my Account summary,Account balance
I need to pay someone new,Add Payee
set up a new payee,Add Payee
make a bank transfer,Transfer to 3rd party
can you call me,Req to call back
I need to Add beneficiary,Add Payee
request to pay [person],Transfer to 3rd party
get How much money I have,Account balance
please get summary of balances,Account balance
assist me with sending money to payee,Transfer to 3rd party
I want to see my account transactions,Transaction history
can I get a callback,Req to call back
I’d like to transfer money to payee,Transfer to 3rd party
move my money,Transfer own Account
request fund transfer to payee,Transfer to 3rd party
I want to see my account transactions,Transaction history
can I talk to someone now,Req for Human Agent
transfer funds,Transfer to 3rd party
send funds,Transfer to 3rd party
please get account balance,Account balance
what are my account transactions,Transaction history
help me to add payee,Add Payee
ajfoiej balance afjaeo afoeial lf aa foea,Unknown
ajfoiej afjaeo another afoeial lf aa foea,Unknown
balance for all accounts,Account balance
can I pay [name],Bill Payment
Let me Speak with an agent,Req for Human Agent
I need to create new payee,Add Payee
can I transfer to another person,Transfer to 3rd party
I need you to transfer me to an agent,Req for Human Agent
help me to add new payee,Add Payee
I need to make a bill payment,Bill Payment
ask the bank to call back,Req to call back
get account sum,Account balance
display summary of accounts,Account balance
transfer to another person,Transfer to 3rd party
I want to Remove Beneficiary,Delete Payee
send money to [person],Transfer to 3rd party
I’d like to send a bank transfer,Transfer to 3rd party
tell me my Balance,Account balance
can you give me a call,Req to call back
help me to transfer,Transfer own Account
ask a bank clerk to call me,Req to call back
I want to find Account summary,Account balance
I want to transfer funds to another person,Transfer to 3rd party
please get account summary,Account balance
I want the bank to phone me,Req to call back
ask a bank clerk to contact me,Req to call back
help me to transfer funds,Transfer own Account
display account summary,Account balance
can you phone me,Req to call back
tell me what funds I have available,Account balance
I want the bank to get in touch with me,Req to call back
can I move funds between my accounts,Transfer own Account
I want to see short statement,Account balance
afiea transaction afoila oaeoa oeoa account,Unknown
I want to find Balance,Account balance
ajfoiej afjaeo afjaeo afoeial lf aa foea,Unknown
please get summary of balances,Account balance
Add a beneficiary,Add Payee
I want to see account balance,Account balance
can I send money to [person],Transfer to 3rd party
I request to talk to a human,Req for Human Agent
I need to Pay bill,Bill Payment
request transfer from my [account_type] to my [account_type],Transfer own Account
account overview,Account balance
ajfoiej afjaeo afjaeo transactions lf aa foea,Unknown
I want the bank to callback,Req to call back
display money available,Account balance
request create a bank transfer,Transfer to 3rd party
ajfoiej afjaeo afjaeo afoeial lf aa foea,Unknown
request to move some money,Transfer own Account
ajfoiej afjaeo another afoeial lf aa foea,Unknown
pay a bill,Bill Payment
How much money do I have,Account balance
can I talk to a person,Req for Human Agent
ajfoiej afjaeo move money lf aa foea,Unknown
I request to talk to someone now,Req for Human Agent
can I pay my [name] bill,Bill Payment
what’s my balance for all accounts,Account balance
I need to move funds between my accounts,Transfer own Account
move money between my accounts,Transfer own Account
ajfoiej call afjaeo afoeial lf aa foea,Unknown
can I get a Call back,Req to call back
help me to send money to [person],Transfer to 3rd party
I want to Add beneficiary,Add Payee
what were the Account transactions,Transaction history
I want to create new payee,Add Payee
funds transfer,Transfer own Account
please get what funds I have available,Account balance
can I make a payment to [person],Transfer to 3rd party
I’d like to pay [person],Transfer to 3rd party
please get account summary,Account balance
I need you to call back,Req to call back
show me account summary,Account balance
ask the bank to give me a call,Req to call back
